URI,SmallURI,LargeURI,ImageWidth,Type,Priority,Caption,Taxon,Character,State,UseFor,TipStyle
# Taxon plastrandena,,,,,,,,,,,
resources/text/plastandrena.html,,,100%,html-local,,,Plastandrena,,,,
https://photos.smugmug.com/Discover-Life-Uploads/Andsrena-PNW-traits/i-HTzhd6f/1/bedcb728/X5/Andrena%2Clegs%2Cspur%2Cprunorum-X5.jpg,,,100%,image-web,,"Wide base, bent tibial spur of A. prunorum",Plastandrena,Spurs,,,
https://photos.smugmug.com/Discover-Life-Uploads/Andsrena-PNW-traits/i-8phLFSC/1/296837ce/4K/Andrena%2Clegs%2Chind%20femur%20ridge%2Ccrataegi-2-4K.jpg,,,100%,image-web,,Unique hind femur of A. crataegi,Plastandrena,Femur_shape,,,
https://photos.smugmug.com/Discover-Life-Uploads/Andrena-PNW-specimens/i-MgxDhGW/2/9fa6faf3/X5/Andrena%20prunorum%2Cfemale%2Clateral%20Glacial-X5.jpg,,,100%,image-web,,Female A. prunorum,Plastandrena,,,,
https://photos.smugmug.com/Select-focus-stacked-insects/i-cMdxgNj/0/11c9dd9a/X4/Andrena%20prunorum.IAE%20108774-X4.jpg,,,100%,image-web,,Male A. prunorum,Plastandrena,,,,
#,,,,,,,,,,,
# Taxon andrena,,,,,,,,,,,
resources/text/andrena.html,,,100%,html-local,,,Andrena,,,,
#,,,,,,,,,,,
# Taxon callandrena,,,,,,,,,,,
resources/text/callandrena.html,,,100%,html-local,,,Callandrena,,,,
#,,,,,,,,,,,
#,,,,,,,,,,,
# Taxon dactylandrena,,,,,,,,,,,
resources/text/dactylandrena.html,,,100%,html-local,,,Dactylandrena,,,,
#,,,,,,,,,,,
# Taxon diandrena,,,,,,,,,,,
resources/text/diandrena.html,,,100%,html-local,,,Diandrena,,,,
#,,,,,,,,,,,
#,,,,,,,,,,,
# Taxon micrandrena,,,,,,,,,,,
resources/text/micrandrena.html,,,100%,html-local,,,Micrandrena,,,,
#,,,,,,,,,,,
# Taxon parandrena,,,,,,,,,,,
resources/text/parandrena.html,,,100%,html-local,,,Parandrena,,,,
#,,,,,,,,,,,
# Taxon  cnemidandrena,,,,,,,,,,,
resources/text/cnemidandrena.html,,,100%,html-local,,,cnemidandrena,,,,
#,,,,,,,,,,,
# Taxon  cremandrena,,,,,,,,,,,
resources/text/cremandrena.html,,,100%,html-local,,,Cremandrena,,,,
#,,,,,,,,,,,
# Taxon dasyandrena,,,,,,,,,,,
resources/text/dasyandrena.html,,,100%,html-local,,,Dasyandrena,,,,
#,,,,,,,,,,,
# Taxon diandrena,,,,,,,,,,,
resources/text/diandrena.html,,,100%,html-local,,,Diandrena,,,,
#,,,,,,,,,,,
# Taxon geissandrena,,,,,,,,,,,
resources/text/geissandrena.html,,,100%,html-local,,,Geissandrena,,,,
#,,,,,,,,,,,
# Taxon holandrena,,,,,,,,,,,
resources/text/holandrena.html,,,100%,html-local,,,Holandrena,,,,
#,,,,,,,,,,,
# Taxon euandrena,,,,,,,,,,,
resources/text/euandrena.html,,,100%,html-local,,,Euandrena,,,,
#,,,,,,,,,,,
# Taxon micrandrena,,,,,,,,,,,
resources/text/micrandrena.html,,,100%,html-local,,,Micrandrena,,,,
#,,,,,,,,,,,
#,,,,,,,,,,,
# Taxon  ptilandrena,,,100%,html-local,,,Ptilandrena,,,,
resources/text/ptilandrena.html,,,,,,,,,,,
#,,,,,,,,,,,
# Taxon  rhacandrena,,,100%,html-local,,,Rhacandrena,,,,
resources/text/rhacandrena.html,,,,,,,,,,,
#,,,,,,,,,,,
# Taxon  tylandrena,,,100%,html-local,,,Tylandrena,,,,
resources/text/tylandrena.html,,,,,,,,,,,
#,,,,,,,,,,,
# Taxon  thysandrena,,,100%,html-local,,,Thysandrena,,,,
resources/text/thysandrena.html,,,,,,,,,,,
#,,,,,,,,,,,
# Taxon  simandrena,,,100%,html-local,,,Simandrena,,,,
resources/text/simandrena.html,,,,,,,,,,,
#,,,,,,,,,,,
# Taxon  scaphandrena,,,100%,html-local,,,Scaphandrena,,,,
resources/text/scaphandrena.html,,,,,,,,,,,
#,,,,,,,,,,,
# Taxon  larandrena,,,100%,html-local,,,Larandrena,,,,
resources/text/larandrena.html,,,,,,,,,,,
#,,,,,,,,,,,
# Taxon  leucandrena,,,100%,html-local,,,Leucandrena,,,,
resources/text/leucandrena.html,,,,,,,,,,,
#,,,,,,,,,,,
# Taxon  melandrena,,,100%,html-local,,,Melandrena,,,,
resources/text/melandrena.html,,,,,,,,,,,
